sourceUrl,destinationUrl,statusCode,boldPublisher_id,domainKey
/tag/memories,/,301,5548,resident
/tag/motorola-razr,/,301,5548,resident
/tag/nun-assisi-relais-spa-museum,/,301,5548,resident
/tag/st-kitts-marriott-resort,/,301,5548,resident
/tag/stylishoffice,/,301,5548,resident
/tag/stylist-nolan-meader,/,301,5548,resident
/tag/swimsuit-issue,/,301,5548,resident
/tag/the-plaza,/,301,5548,resident
/tag/usmc-color-guard,/,301,5548,resident
/tag/akkezdet-phiai,/,301,5548,resident
/tag/citybrunching,/,301,5548,resident
/tag/management,/,301,5548,resident
/tag/miamitourism,/,301,5548,resident
/tag/nycfoodiefaves,/,301,5548,resident
/tag/salt,/,301,5548,resident
/tag/sls-brickell,/,301,5548,resident
/tag/successahead,/,301,5548,resident
/tag/sunglassesfeatures,/,301,5548,resident
/tag/u-s,/,301,5548,resident
/tag/alps,/,301,5548,resident
/tag/jpod,/,301,5548,resident
/tag/localeats,/,301,5548,resident
/tag/on-location,/,301,5548,resident
/tag/communityevent,/,301,5548,resident
/tag/cover-story-of-the-month,/,301,5548,resident
/tag/hamptonsescape,/,301,5548,resident
/tag/horin-entei,/,301,5548,resident
/tag/brunchtime,/,301,5548,resident
/tag/flavors,/,301,5548,resident
/tag/stars-of-today,/,301,5548,resident
/tag/vegetables,/,301,5548,resident
/tag/casa-la-femme,/,301,5548,resident
/tag/cunard-royal-rendezvous,/,301,5548,resident
/tag/groover,/,301,5548,resident
/tag/hairtoolkit,/,301,5548,resident
/tag/lolos-seafood-shack,/,301,5548,resident
/tag/makeup,/,301,5548,resident
/tag/2017,/,301,5548,resident
/tag/adult,/,301,5548,resident
/tag/asap-rocky,/,301,5548,resident
/tag/nolamusicscene,/,301,5548,resident
/tag/peep,/,301,5548,resident
/tag/soulfulsounds,/,301,5548,resident
/tag/the-front-page,/,301,5548,resident
/tag/theater-review,/,301,5548,resident
/tag/al-thumama-stadium,/,301,5548,resident
/tag/education-city-stadium,/,301,5548,resident
/tag/equality-now,/,301,5548,resident
/tag/hugo-bumfeldt,/,301,5548,resident
/tag/resident-new-york,/,301,5548,resident
/tag/beauty-product,/,301,5548,resident
/tag/financial,/,301,5548,resident
/tag/gyorgy-ligeti,/,301,5548,resident
/tag/maggie-gyllenhaal,/,301,5548,resident
/tag/nicky-hilton-rothschild,/,301,5548,resident
/tag/sleep,/,301,5548,resident
/tag/arlenis-sosa,/,301,5548,resident
/tag/bank,/,301,5548,resident
/tag/bourbon-orleans-hotel,/,301,5548,resident
/tag/castamatidis,/,301,5548,resident
/tag/chef-bill-kim,/,301,5548,resident
/tag/gourmetinnyc,/,301,5548,resident
/tag/hamptons-interactive-brunch,/,301,5548,resident
/tag/lawrence-jones,/,301,5548,resident
/tag/nevada,/,301,5548,resident
/tag/paparazzi,/,301,5548,resident
/tag/pierre-yves-rochon,/,301,5548,resident
/tag/porn,/,301,5548,resident
/tag/productivity,/,301,5548,resident
/tag/pulled-apart-by-horses,/,301,5548,resident
/tag/ruffle-mini,/,301,5548,resident
/tag/social-media-influencer,/,301,5548,resident
/tag/the-edinburgh-festival-fringe,/,301,5548,resident
/tag/uchi,/,301,5548,resident
/tag/deer-valley-resort,/,301,5548,resident
/tag/limahuli-garden-and-preserve,/,301,5548,resident
/tag/marina-del-rey,/,301,5548,resident
/tag/mettle-property-group,/,301,5548,resident
/tag/sex-pistols,/,301,5548,resident
/tag/luis,/,301,5548,resident
/tag/peterfi-bori-and-the-love-band,/,301,5548,resident
/tag/touch-the-earth,/,301,5548,resident
/tag/beverly-hills-90210,/,301,5548,resident
/tag/buildyourdream,/,301,5548,resident
/tag/cphfw,/,301,5548,resident
/tag/fazz-now-then,/,301,5548,resident
/tag/guido,/,301,5548,resident
/tag/inspiration,/,301,5548,resident
/tag/mano,/,301,5548,resident
/tag/tasteofneworleans,/,301,5548,resident
/tag/two-roads,/,301,5548,resident
/tag/al-sadd-sc,/,301,5548,resident
/tag/bezoge,/,301,5548,resident
/tag/bucifashion,/,301,5548,resident
/tag/elegantaffair,/,301,5548,resident
/tag/fifa-world-cup,/,301,5548,resident
/tag/khalifa-international-stadium,/,301,5548,resident
/tag/los-angeles-actress,/,301,5548,resident
/tag/nijinsky,/,301,5548,resident
/tag/paris-saint-germain,/,301,5548,resident
/tag/sailing,/,301,5548,resident
/tag/the-mark-hotel,/,301,5548,resident
/tag/worlds-best-business-class-onboard-catering,/,301,5548,resident
/tag/:param1,/,301,5548,resident
/tag/attendees/page/58,/,301,5548,resident
/tag/brunch,/,301,5548,resident
/tag/culinary-adventure,/,301,5548,resident
/tag/danessa-myricks,/,301,5548,resident
/tag/enjoy/page/32,/,301,5548,resident
/tag/gifts-for-guys,/,301,5548,resident
/tag/imbibe/page/47,/,301,5548,resident
/tag/nycfoodscene,/,301,5548,resident
/tag/ocrfa/page/2,/,301,5548,resident
/tag/parents/page/2,/,301,5548,resident
/tag/rome,/,301,5548,resident
/tag/wellness/page/5,/,301,5548,resident
/tag/willy-monfret,/,301,5548,resident
/tag/belgium-top-hotels,/,301,5548,resident
/tag/consumer,/,301,5548,resident
/tag/culture/page/5,/,301,5548,resident
/tag/enjoy/page/37,/,301,5548,resident
/tag/gifts-for-men/page/2,/,301,5548,resident
/tag/kawaii-experience,/,301,5548,resident
/tag/lgbtqia-youth,/,301,5548,resident
/tag/makeup/page/10,/,301,5548,resident
/tag/music/page/4,/,301,5548,resident
/tag/music/page/45,/,301,5548,resident
