publisher_name,total_requests,total_bytes,hit_count,date
sarkarnama,32285,173056805,28914,2022-03-02
thenewsagency,1170,11154889,967,2022-03-02
netindian,1706,42892433,1040,2022-03-02
theceo,746,24049240,145,2022-03-02
kamadenu,754,240555595,162,2022-03-02
whiteswanfoundation-bengali,44,3051265,26,2022-03-02
indiaglobalbusiness,490,12251374,296,2022-03-02
magazine-watertoday,111,79711916,52,2022-03-02
evoindia,6219,236392980,5488,2022-03-02
pratinidhimanthan,328,10410535,206,2022-03-02
whiteswanfoundation-hindi,73,2842430,31,2022-03-02
upfrontstories,1,96894,0,2022-03-02
whiteswanfoundation-kannada,51,3236411,22,2022-03-02
iglobalnews,395,66259846,202,2022-03-02
tendernama,175,10568722,77,2022-03-02
newslaundry,234035,13295351544,228821,2022-03-02
wuzupnigeria,1469,51711165,97,2022-03-02
dailynewsnepal,1,72360,0,2022-03-02
thebridgechronicle,3082,36552352,2839,2022-03-02
mumbaitak,26845,349404668,25880,2022-03-02
greaterkashmir,4102,115568254,213,2022-03-02
udaybulletin,78,8296963,10,2022-03-02
peoplesreporter,1456,25330299,926,2022-03-03
udaybulletin,40,3025105,7,2022-03-03
netindian,1158,34078275,762,2022-03-03
theceo,751,22317651,320,2022-03-03
steelguru,3416,80244945,2651,2022-03-03
indiaglobalbusiness,557,26387714,359,2022-03-03
greatkarunadu,2,257424,1,2022-03-03
kamadenu,1448,1042529367,831,2022-03-03
forbesga,101,5091134,8,2022-03-03
raftaar,57481,1366724876,57075,2022-03-03
newslaundry,335251,18160493926,329066,2022-03-03
wuzupnigeria,1601,48313283,116,2022-03-03
matternews,331,8773974,225,2022-03-03
thecue,16985,148264437,16222,2022-03-03
thenewsagency,672,7306763,549,2022-03-03
sarkarnama,30664,168495987,27533,2022-03-03
bhoomitoday,9,718644,0,2022-03-03
dharmadispatch,1369,16587296,1142,2022-03-03
newssensetn,3841,192182700,3193,2022-03-03
ejan,345713,69192113743,344621,2022-03-03
ajel,30751,272183712,29751,2022-03-03
transportandlogisticsme,743,29181856,271,2022-03-03
bettorsinsider,2869,91802651,2285,2022-03-03
whiteswanfoundation-hindi,89,3005762,57,2022-03-03
pratinidhimanthan,192,5378849,134,2022-03-03
dainikgomantak,6574,82394335,5190,2022-03-03
sinceindependence,534,39313685,394,2022-03-03
whiteswanfoundation-tamil,36,2257093,17,2022-03-03
sabq,1881,305149175,233,2022-03-03
happenings,492,13187697,6,2022-03-03
hindustanreads,128,4723874,0,2022-03-03
magazine-watertoday,155,27231413,95,2022-03-03
evoindia,6330,124307373,5803,2022-03-03
anweshanam,149,2419339,134,2022-03-03
esakal,6927764,113241949800,6894102,2022-03-03
whiteswanfoundation-malayalam,10,600834,5,2022-03-03
barandbench-hindi,3106,74696572,2878,2022-03-03
presscenter,20719,1751665659,20057,2022-03-03
pratidintime,1454,24786504,1222,2022-03-03
punjabtoday,10,1387392,0,2022-03-03
sinceindependence-hindi,1042,71264881,769,2022-03-03
pennews,3018,25391679,10,2022-03-03
ftcftcftc,213,587782,123,2022-03-03
rajexpress,6307,143191499,4163,2022-03-03
uptak,1032,51423618,101,2022-03-03
theamj,24,287831,2,2022-03-03
saamtv,6061,135648264,2431,2022-03-03
yoyocial,613,28097442,401,2022-03-03
barandbench,125265,7370566139,118044,2022-03-03
deshdoot,42316,1786911662,38918,2022-03-03
gomantaktimes,699,28766800,492,2022-03-03
foodtechbiz,784,16456191,583,2022-03-03
mumbaitak,20335,247893026,19527,2022-03-03
thebridgechronicle,3596,43523844,3327,2022-03-03
greaterkashmir,4282,116513273,608,2022-03-03
fastbikesindia,320,15820705,148,2022-03-03
iglobalnews,296,47549323,183,2022-03-03
tendernama,415,26122338,292,2022-03-03
xchange,209,906822664,72,2022-03-03
thelawyer,1,155660,0,2022-03-03
sathyadeepam,10,1566516,0,2022-03-03
pratidhvani,88,198132662,38,2022-03-03
crimetak,651,62160388,108,2022-03-03
mimorelia,28135,584596082,27805,2022-03-03
whiteswanfoundation,7050,402549342,6569,2022-03-03
barandbench-kannada,927,17576124,743,2022-03-03
startupcityindia,580,8513596,443,2022-03-03
ficl,3,137343,1,2022-03-03
whiteswanfoundation-kannada,55,1758677,38,2022-03-03
whiteswanfoundation-bengali,53,4678150,39,2022-03-03
punjabtoday,36,2489852,0,2022-03-04
tendernama,288,20924624,217,2022-03-04
iglobalnews,459,65217787,266,2022-03-04
bettorsinsider,2570,91101722,2180,2022-03-04
udaybulletin,26,3830201,7,2022-03-04
xchange,197,814664960,82,2022-03-04
nationwide,3,33308,0,2022-03-04
theceo,376,18702637,118,2022-03-04
happenings,58,10381384,2,2022-03-04
hindustanreads,65,3267173,5,2022-03-04
sabq,1431,287171669,173,2022-03-04
thelawyer,1,155641,0,2022-03-04
barandbench-hindi,2543,44835590,2332,2022-03-04
whiteswanfoundation-malayalam,5,300443,3,2022-03-04
steelguru,3267,77570034,2738,2022-03-04
newssensetn,5946,305424457,4920,2022-03-04
greatkarunadu,3,244337,0,2022-03-04
whiteswanfoundation-hindi,58,1950898,43,2022-03-04
pratinidhimanthan,84,2936758,56,2022-03-04
evoindia,6400,146293354,5902,2022-03-04
newslaundry,255834,14330770254,251423,2022-03-04
wuzupnigeria,673,29951603,35,2022-03-04
dailynewsnepal,20,311126,0,2022-03-04
ftcftcftc,183,487009,104,2022-03-04
sarkarnama,31235,159134237,29089,2022-03-04
thenewsagency,1522,11273302,1398,2022-03-04
netindian,1279,33394279,938,2022-03-04
sinceindependence,518,35920683,382,2022-03-04
whiteswanfoundation-tamil,31,1572473,13,2022-03-04
rajexpress,5359,122344031,4333,2022-03-04
uptak,743,37714092,43,2022-03-04
dharmadispatch,2098,27124509,1820,2022-03-04
theamj,23,211598,4,2022-03-04
dainikgomantak,6747,97389182,4636,2022-03-04
gomantaktimes,865,27265577,676,2022-03-04
foodtechbiz,817,24837421,610,2022-03-04
sathyadeepam,18,2087516,0,2022-03-04
magazine-watertoday,78,21979967,41,2022-03-04
forbesga,35,1903675,3,2022-03-04
indiaglobalbusiness,474,29359868,283,2022-03-04
raftaar,56612,1344349177,56201,2022-03-04
peoplesreporter,1010,14948523,698,2022-03-04
mimorelia,16153,340453216,15919,2022-03-04
whiteswanfoundation,6078,335493187,5640,2022-03-04
barandbench-kannada,1008,23409988,696,2022-03-04
startupcityindia,603,8854818,476,2022-03-04
ficl,2,8560951,0,2022-03-04
whiteswanfoundation-kannada,35,1087829,14,2022-03-04
whiteswanfoundation-bengali,36,2364819,22,2022-03-04
kamadenu,981,211349697,117,2022-03-04
fastbikesindia,244,10878890,143,2022-03-04
ejan,390486,80759553526,389338,2022-03-04
ajel,26911,241454157,25679,2022-03-04
transportandlogisticsme,366,19358127,218,2022-03-04
deshdoot,29307,1262675065,26607,2022-03-04
barandbench,139805,5377717171,133631,2022-03-04
mumbaitak,18990,230346522,18251,2022-03-04
thebridgechronicle,3863,47087591,3585,2022-03-04
greaterkashmir,3953,93091886,452,2022-03-04
matternews,192,6997716,102,2022-03-04
esakal,6585921,113330460715,6555464,2022-03-04
thecue,10467,119286335,9679,2022-03-04
pennews,396,29774055,13,2022-03-04
presscenter,14377,1149507900,13892,2022-03-04
saamtv,5990,131099964,2244,2022-03-04
yoyocial,585,34543257,341,2022-03-04
pratidhvani,86,190451339,34,2022-03-04
crimetak,911,91780505,103,2022-03-04
anweshanam,139,2183255,125,2022-03-04
sinceindependence-hindi,2109,170678278,1649,2022-03-04
pratidintime,2744,45087115,2380,2022-03-04
kamadenu,998,184453226,133,2022-03-05
mumbaitak,20737,285151227,20139,2022-03-05
greaterkashmir,4291,109110004,624,2022-03-05
barandbench-hindi,654,33267922,503,2022-03-05
whiteswanfoundation-malayalam,5,300415,1,2022-03-05
theceo,754,19661668,108,2022-03-05
sarkarnama,31125,146534703,29080,2022-03-05
thenewsagency,966,7371216,837,2022-03-05
netindian,1300,38117617,951,2022-03-05
happenings,150,21464969,4,2022-03-05
hindustanreads,95,7903701,17,2022-03-05
pennews,1024,38924871,4,2022-03-05
ajel,32320,298430006,30830,2022-03-05
ejan,168542,34208365582,167748,2022-03-05
transportandlogisticsme,315,16239306,164,2022-03-05
newssensetn,5696,266860524,5050,2022-03-05
presscenter,10304,788589495,10075,2022-03-05
xchange,128,531267587,51,2022-03-05
indiaglobalbusiness,377,10531665,212,2022-03-05
magazine-watertoday,70,24844533,28,2022-03-05
dainikgomantak,7810,99238363,5912,2022-03-05
newslaundry,186217,12166519236,180711,2022-03-05
wuzupnigeria,808,46781940,134,2022-03-05
rajexpress,5453,121681374,3783,2022-03-05
uptak,563,41777568,15,2022-03-05
dharmadispatch,2015,27210972,1754,2022-03-05
udaybulletin,30,3911279,6,2022-03-05
deshdoot,23181,882239684,19792,2022-03-05
barandbench,107453,3694811742,102674,2022-03-05
gomantaktimes,797,14746541,668,2022-03-05
foodtechbiz,405,8712338,281,2022-03-05
bettorsinsider,1286,49657881,977,2022-03-05
raftaar,50838,1187734197,50386,2022-03-05
peoplesreporter,1349,23183777,1016,2022-03-05
sabq,1139,291043955,245,2022-03-05
sinceindependence,477,32079745,349,2022-03-05
whiteswanfoundation-tamil,21,1376448,7,2022-03-05
nationwide,1,12515,0,2022-03-05
steelguru,1449,33753939,1165,2022-03-05
whiteswanfoundation-kannada,13,401158,7,2022-03-05
pratidhvani,89,172345467,44,2022-03-05
crimetak,244,36649730,20,2022-03-05
pratinidhimanthan,90,2605272,54,2022-03-05
whiteswanfoundation-hindi,65,2069900,30,2022-03-05
fastbikesindia,247,31113191,123,2022-03-05
sinceindependence-hindi,1122,78854993,918,2022-03-05
pratidintime,1885,30569318,1615,2022-03-05
punjabtoday,31,3536623,0,2022-03-05
forbesga,4,654703,0,2022-03-05
iglobalnews,414,52633233,193,2022-03-05
tendernama,133,7134100,68,2022-03-05
ftcftcftc,154,378850,75,2022-03-05
theamj,17,158601,11,2022-03-05
whiteswanfoundation-bengali,27,1622321,16,2022-03-05
saamtv,3369,76594648,1619,2022-03-05
yoyocial,710,33596006,474,2022-03-05
mimorelia,19897,410695098,19644,2022-03-05
barandbench-kannada,1661,34533659,1464,2022-03-05
whiteswanfoundation,6251,327805720,5821,2022-03-05
startupcityindia,440,6286860,354,2022-03-05
ficl,7,1726126,2,2022-03-05
evoindia,5278,177845480,4743,2022-03-05
esakal,6113326,108496960180,6077548,2022-03-05
sathyadeepam,1,303679,0,2022-03-05
anweshanam,156,2546890,137,2022-03-05
matternews,186,5570037,103,2022-03-05
thecue,10397,114462088,9478,2022-03-05
thebridgechronicle,3356,39643255,3102,2022-03-05
mumbaitak,12993,217366245,12172,2022-03-06
thebridgechronicle,2913,34144432,2642,2022-03-06
uptak,1500,53130267,44,2022-03-06
esakal,5093990,90520574759,5061980,2022-03-06
whiteswanfoundation-tamil,19,1083660,11,2022-03-06
mimorelia,41263,825079246,41078,2022-03-06
whiteswanfoundation,7014,392143559,6503,2022-03-06
barandbench-kannada,1093,21739476,1007,2022-03-06
startupcityindia,311,4225999,234,2022-03-06
kamadenu,231,231533281,36,2022-03-06
dharmadispatch,2129,25927554,1815,2022-03-06
xchange,114,639895918,36,2022-03-06
theceo,174,17627413,112,2022-03-06
greaterkashmir,3924,95693804,328,2022-03-06
indiaglobalbusiness,471,12754830,259,2022-03-06
magazine-watertoday,79,52381505,34,2022-03-06
iglobalnews,372,53712273,93,2022-03-06
raftaar,47822,1125598754,47415,2022-03-06
peoplesreporter,1442,22651814,1097,2022-03-06
forbesga,5,723412,0,2022-03-06
pratinidhimanthan,71,2141199,40,2022-03-06
whiteswanfoundation-hindi,58,1688589,30,2022-03-06
netindian,833,22451944,655,2022-03-06
thenewsagency,690,4202568,602,2022-03-06
sarkarnama,28008,130579975,26487,2022-03-06
steelguru,1317,38750599,955,2022-03-06
newssensetn,3956,179923223,3457,2022-03-06
saamtv,4889,91405515,2541,2022-03-06
yoyocial,576,31676770,365,2022-03-06
pratidhvani,85,211702441,47,2022-03-06
crimetak,95,32529215,0,2022-03-06
ajel,44493,322022383,43465,2022-03-06
ejan,306144,62946255429,305400,2022-03-06
transportandlogisticsme,180,9955950,64,2022-03-06
sinceindependence-hindi,1514,94833008,1119,2022-03-06
bettorsinsider,954,32924337,565,2022-03-06
whiteswanfoundation-bengali,207,12438725,184,2022-03-06
whiteswanfoundation-malayalam,7,521446,2,2022-03-06
barandbench-hindi,428,41141962,301,2022-03-06
upfrontstories,4,46361,0,2022-03-06
bhoomitoday,2,182612,0,2022-03-06
tendernama,262,19094329,207,2022-03-06
whiteswanfoundation-kannada,49,1596007,25,2022-03-06
theamj,15,171367,1,2022-03-06
ftcftcftc,126,308040,56,2022-03-06
gomantaktimes,424,11251272,314,2022-03-06
foodtechbiz,396,11150166,252,2022-03-06
pennews,464,36899599,5,2022-03-06
anweshanam,175,2836911,155,2022-03-06
newslaundry,266786,16039828642,261274,2022-03-06
wuzupnigeria,767,35427673,48,2022-03-06
presscenter,69359,7865858201,68714,2022-03-06
udaybulletin,24,1898633,6,2022-03-06
evoindia,5199,104708536,4736,2022-03-06
fastbikesindia,219,13600622,93,2022-03-06
rajexpress,5783,137438057,3726,2022-03-06
dainikgomantak,8734,125651829,6239,2022-03-06
pratidintime,1447,29240081,1153,2022-03-06
punjabtoday,20,783696,7,2022-03-06
barandbench,92841,3600650057,89104,2022-03-06
deshdoot,20974,823318389,18476,2022-03-06
happenings,104,18508016,1,2022-03-06
sabq,1714,330575211,202,2022-03-06
sinceindependence,355,23070003,262,2022-03-06
thecue,14613,148433084,13780,2022-03-06
matternews,155,8527492,82,2022-03-06
peoplesreporter,978,14177833,787,2022-03-07
magazine-watertoday,143,62887903,82,2022-03-07
tendernama,752,57285009,664,2022-03-07
iglobalnews,436,74584490,236,2022-03-07
whiteswanfoundation-malayalam,9,540784,3,2022-03-07
bhoomitoday,3,2610477,0,2022-03-07
steelguru,3023,71213875,2545,2022-03-07
anweshanam,130,2052844,113,2022-03-07
corner,1,102505,0,2022-03-07
kamadenu,805,484622177,278,2022-03-07
greatkarunadu,24,737612,0,2022-03-07
whiteswanfoundation-bengali,45,2809145,33,2022-03-07
gomantaktimes,1119,33783313,913,2022-03-07
foodtechbiz,1249,25031020,979,2022-03-07
bettorsinsider,843,36057804,536,2022-03-07
indiaglobalbusiness,1482,28237708,1255,2022-03-07
saamtv,5653,121315452,1986,2022-03-07
yoyocial,665,53316609,416,2022-03-07
