"publisher_name","referer_domain","total_requests","total_bytes","hit_count","date"
"dharmadispatch","https://www.dharmadispatch.in","13902","364174714","13428","2022-03-02"
"evoindia","https://www.evoindia.com","51092","1101838055","50491","2022-03-02"
"fastbikesindia","https://www.fastbikesindia.com","8016","110257174","7709","2022-03-02"
"theceo","https://www.theceo.in","25446","555867804","25094","2022-03-02"
"peoplesreporter","https://www.peoplesreporter.in","20372","592435043","20155","2022-03-02"
"sathyadeepam","https://www.sathyadeepam.org","17920","457136823","17712","2022-03-02"
"mimorelia","https://mimorelia.com","552674","20467338235","551258","2022-03-02"
"thenewsagency","https://www.thenewsagency.in","17207","396500924","16889","2022-03-02"
"yoyocial","https://www.yoyocial.news","18552","100094397","18421","2022-03-02"
"pratidintime","https://www.pratidintime.com","59654","1014824446","59373","2022-03-02"
"whiteswanfoundation-bengali","https://bengali.whiteswanfoundation.org","778","11758555","710","2022-03-02"
"forbesga","https://www.forbesga.com","381","9503260","310","2022-03-02"
"mumbaitak","https://www.mumbaitak.in","330450","12152817468","329920","2022-03-02"
"crimetak","https://www.crimetak.in","523401","19078018915","522517","2022-03-02"
"thelede","https://www.thelede.in","10","175939","3","2022-03-02"
"barandbench-kannada","https://kannada.barandbench.com","17779","540784629","17588","2022-03-02"
"raftaar","https://news.raftaar.in","191964","2749754632","191707","2022-03-02"
"raftaar","https://health.raftaar.in","2784","58560510","2698","2022-03-02"
"sabq","https://sabq.org","5698188","209991548075","5697033","2022-03-02"
"raftaar","https://women.raftaar.in","34266","690952652","34126","2022-03-02"
"netindian","https://www.netindian.in","36496","417338959","36163","2022-03-02"
"saamtv","https://www.saamtv.com","572171","19631369107","571501","2022-03-02"
"presscenter","https://www.presscenter.mn","91998","3023548793","91462","2022-03-02"
"ficl","https://www.ficl.org.in","1067","17661575","972","2022-03-02"
"thecue","https://www.thecue.in","169215","6186384607","167970","2022-03-02"
"foodtechbiz","https://www.foodtechbiz.com","10432","183063189","10055","2022-03-02"
"barandbench-hindi","https://hindi.barandbench.com","11287","356135961","11136","2022-03-02"
"matternews","https://www.matternews.org","3523","49054927","3311","2022-03-02"
"uptak","https://www.uptak.in","1065375","39830576980","1064091","2022-03-02"
"magazine-watertoday","https://magazine.watertoday.org","1479","18978066","1375","2022-03-02"
"whiteswanfoundation-tamil","https://tamil.whiteswanfoundation.org","482","3340334","434","2022-03-02"
"indiaglobalbusiness","https://www.indiaglobalbusiness.com","8974","145578787","8744","2022-03-02"
"deshdoot","https://www.deshdoot.com","202621","5386876706","201774","2022-03-02"
"udaybulletin","https://www.udaybulletin.com","4","64829","2","2022-03-02"
"punjabtoday","https://www.punjabtoday.com","5157","191980444","4960","2022-03-02"
"rajexpress","https://www.rajexpress.co","42677","619286110","42412","2022-03-02"
